company_name,deg_weighted,deg_centrality,betweenness,eigenvector,clustering,success,total_raised,employees
Zelt,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,74.0,10.85,15.0
Frontera,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,70.0,32.0,60.0
OpenEvidence,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,86.0,135.4,27.0
Cartwheel (Multimedia and Design Software),53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,69.0,14.35,7.0
Shield AI,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,98.0,1310.35,1000.0
Endowus,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,79.0,108.2,156.0
n8n,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,95.0,73.49,109.0
Innoviti,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447772,0.3336472476448005,86.0,94.55,650.0
Presentations.AI,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,79.0,3.7,26.0
"Swish (Restaurants, Hotels and Leisure)",53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,88.0,16.05,69.0
Orderful,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,87.0,49.87,87.0
Wiz (Network Management Software),167,0.6742081447963801,0.0358019105077928,0.18429115791463274,0.15546524625678845,98.0,1801.0,900.0
Voiceops,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,89.0,23.72,12.0
The Whole Truth,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068763,93.0,38.01,183.0
koodos labs,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,73.0,18.0,10.0
Curefoods,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,97.0,212.56,648.0
Halliday,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,96.0,291.92,300.0
Cult.Fit,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,96.0,527.29,4032.0
VilCart,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,83.0,31.34,308.0
nunu.ai,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,40.0,8.53,7.0
Nabhdrishti Aerospace,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,63.0,3.46,15.0
Uthana,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,62.0,4.9,10.0
CalypsoAI,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199704,91.0,62.87,68.0
AgroStar,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,98.0,140.77,2636.0
Story Foundation,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,98.0,940.58,190.0
Rogo (Financial Software),54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068763,97.0,69.0,40.0
Warmly,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068763,83.0,22.07,20.0
"Crux ( Accounting, Audit and Tax Services)",66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,83.0,77.02,49.0
